datetime,demand,plant,net_generation,coal,hydro,natural_gas,nuclear,other,solar,wind,total_interchange
20200311T01Z,41894.0,ERCO,30675.0,2453.0,66.0,13282.0,5107.0,10.0,0.0,9757.0,94.0
20200311T00Z,41846.0,ERCO,31366.0,2466.0,67.0,13974.0,5107.0,6.0,0.0,9747.0,58.0
20200310T23Z,42234.0,ERCO,32624.0,2725.0,67.0,14655.0,5107.0,8.0,0.0,10063.0,45.0
20200310T22Z,42051.0,ERCO,34508.0,3474.0,67.0,16584.0,5107.0,3.0,0.0,9272.0,14.0
20200310T21Z,41485.0,ERCO,36843.0,4932.0,68.0,19205.0,5107.0,8.0,0.0,7523.0,-284.0
20200310T20Z,40831.0,ERCO,38946.0,5897.0,142.0,21489.0,5107.0,15.0,0.0,6295.0,-459.0
20200310T19Z,39975.0,ERCO,39623.0,6955.0,151.0,22463.0,5106.0,15.0,0.0,4933.0,-252.0
20200310T18Z,39189.0,ERCO,38990.0,7147.0,178.0,22807.0,5106.0,28.0,124.0,3601.0,-184.0
20200310T17Z,38648.0,ERCO,38557.0,7088.0,144.0,21706.0,5107.0,19.0,880.0,3613.0,-205.0
20200310T16Z,38180.0,ERCO,38476.0,5675.0,173.0,20628.0,5107.0,15.0,1763.0,5115.0,-191.0
20200310T15Z,37580.0,ERCO,38325.0,4575.0,173.0,20445.0,5107.0,13.0,1960.0,6053.0,-135.0
20200310T14Z,37242.0,ERCO,38366.0,4287.0,185.0,19718.0,5107.0,8.0,1976.0,7084.0,-180.0
20200310T13Z,36958.0,ERCO,38719.0,4174.0,136.0,19262.0,5107.0,6.0,1997.0,8036.0,-181.0
20200310T12Z,35165.0,ERCO,39003.0,4200.0,103.0,18420.0,5108.0,18.0,2051.0,9103.0,-182.0
20200310T11Z,32510.0,ERCO,39031.0,4362.0,104.0,17021.0,5108.0,20.0,1925.0,10491.0,-193.0
